Date,PX_LAST
2/28/2025,19.63
1/31/2025,16.43
12/31/2024,17.35
11/29/2024,13.51
10/31/2024,23.16
9/30/2024,16.73
8/30/2024,15
7/31/2024,16.36
6/28/2024,12.44
5/31/2024,12.92
4/30/2024,15.65
3/29/2024,13.01
2/29/2024,13.4
1/31/2024,14.35
12/29/2023,12.45
11/30/2023,12.92
10/31/2023,18.14
9/29/2023,17.52
8/31/2023,13.57
7/31/2023,13.63
6/30/2023,13.59
5/31/2023,17.94
4/28/2023,15.78
3/31/2023,18.7
2/28/2023,20.7
1/31/2023,19.4
12/30/2022,21.67
11/30/2022,20.58
10/31/2022,25.88
9/30/2022,31.62
8/31/2022,25.87
7/29/2022,21.33
6/30/2022,28.71
5/31/2022,26.19
4/29/2022,33.4
3/31/2022,20.56
2/28/2022,30.15
1/31/2022,24.83
12/31/2021,17.22
11/30/2021,27.19
10/29/2021,16.26
9/30/2021,23.14
8/31/2021,16.48
7/30/2021,18.24
6/30/2021,15.83
5/31/2021,16.76
4/30/2021,18.61
3/31/2021,19.4
2/26/2021,27.95
1/29/2021,33.09
12/31/2020,22.75
11/30/2020,20.57
10/30/2020,38.02
9/30/2020,26.37
8/31/2020,26.41
7/31/2020,24.46
6/30/2020,30.43
5/29/2020,27.51
4/30/2020,34.15
3/31/2020,53.54
2/28/2020,40.11
1/31/2020,18.84
12/31/2019,13.78
11/29/2019,12.62
10/31/2019,13.22
9/30/2019,16.24
8/30/2019,18.98
7/31/2019,16.12
6/28/2019,15.08
5/31/2019,18.71
4/30/2019,13.12
3/29/2019,13.71
2/28/2019,14.78
1/31/2019,16.57
12/31/2018,25.42
11/30/2018,18.07
10/31/2018,21.23
9/28/2018,12.12
8/31/2018,12.86
7/31/2018,12.83
6/29/2018,16.09
5/31/2018,15.43
4/30/2018,15.93
3/30/2018,19.97
2/28/2018,19.85
1/31/2018,13.54
12/29/2017,11.04
11/30/2017,11.28
10/31/2017,10.18
9/29/2017,9.51
8/31/2017,10.59
7/31/2017,10.26
6/30/2017,11.18
5/31/2017,10.41
4/28/2017,10.82
3/31/2017,12.37
2/28/2017,12.92
1/31/2017,11.99
12/30/2016,14.04
11/30/2016,13.33
10/31/2016,17.06
9/30/2016,13.29
8/31/2016,13.42
7/29/2016,11.87
6/30/2016,15.63
5/31/2016,14.19
4/29/2016,15.7
3/31/2016,13.95
2/29/2016,20.55
1/29/2016,20.2
12/31/2015,18.21
11/30/2015,16.13
10/30/2015,15.07
9/30/2015,24.5
8/31/2015,28.43
7/31/2015,12.12
6/30/2015,18.23
5/29/2015,13.84
4/30/2015,14.55
3/31/2015,15.29
2/27/2015,13.34
1/30/2015,20.97
12/31/2014,19.2
11/28/2014,13.33
10/31/2014,14.03
9/30/2014,16.31
8/29/2014,11.98
7/31/2014,16.95
6/30/2014,11.57
5/30/2014,11.4
4/30/2014,13.41
3/31/2014,13.88
2/28/2014,14
1/31/2014,18.41
12/31/2013,13.72
11/29/2013,13.7
10/31/2013,13.75
9/30/2013,16.6
8/30/2013,17.01
7/31/2013,13.45
6/28/2013,16.86
5/31/2013,16.3
4/30/2013,13.52
3/29/2013,12.7
2/28/2013,15.51
1/31/2013,14.28
12/31/2012,18.02
11/30/2012,15.87
10/31/2012,18.6
9/28/2012,15.73
8/31/2012,17.47
7/31/2012,18.93
6/29/2012,17.08
5/31/2012,24.06
4/30/2012,17.15
3/30/2012,15.5
2/29/2012,18.43
1/31/2012,19.44
12/30/2011,23.4
11/30/2011,27.8
10/31/2011,29.96
9/30/2011,42.96
8/31/2011,31.62
7/29/2011,25.25
6/30/2011,16.52
5/31/2011,15.45
4/29/2011,14.75
3/31/2011,17.74
2/28/2011,18.35
1/31/2011,19.53
12/31/2010,17.75
11/30/2010,23.54
10/29/2010,21.2
9/30/2010,23.7
8/31/2010,26.05
7/30/2010,23.5
6/30/2010,34.54
5/31/2010,32.07
4/30/2010,22.05
3/31/2010,17.59
2/26/2010,19.5
1/29/2010,24.62
12/31/2009,21.68
11/30/2009,24.51
10/30/2009,30.69
9/30/2009,25.61
8/31/2009,26.01
7/31/2009,25.92
6/30/2009,26.35
5/29/2009,28.92
4/30/2009,36.5
3/31/2009,44.14
2/27/2009,46.35
1/30/2009,44.84
12/31/2008,40
11/28/2008,55.84
10/31/2008,59.89
9/30/2008,39.39
8/29/2008,20.65
7/31/2008,22.94
6/30/2008,23.95
5/30/2008,17.83
4/30/2008,20.79
3/31/2008,25.61
2/29/2008,26.54
1/31/2008,26.2
12/31/2007,22.5
11/30/2007,22.87
10/31/2007,18.53
9/28/2007,18
8/31/2007,23.38
7/31/2007,23.52
6/29/2007,16.23
5/31/2007,13.05
4/30/2007,14.22
3/30/2007,14.64
2/28/2007,15.42
1/31/2007,10.42
12/29/2006,11.56
11/30/2006,10.91
10/31/2006,11.1
9/29/2006,11.98
8/31/2006,12.31
7/31/2006,14.95
6/30/2006,13.08
5/31/2006,16.44
4/28/2006,11.59
3/31/2006,11.39
2/28/2006,12.34
1/31/2006,12.95
12/30/2005,12.07
11/30/2005,12.06
10/31/2005,15.32
9/30/2005,11.92
8/31/2005,12.6
7/29/2005,11.57
6/30/2005,12.04
5/31/2005,13.29
4/29/2005,15.31
3/31/2005,14.02
2/28/2005,12.08
1/31/2005,12.82
12/31/2004,13.29
11/30/2004,13.24
10/29/2004,16.27
9/30/2004,13.34
8/31/2004,15.29
7/30/2004,15.32
6/30/2004,14.34
5/31/2004,15.5
4/30/2004,17.19
3/31/2004,16.74
2/27/2004,14.55
1/30/2004,16.63
12/31/2003,18.31
11/28/2003,16.32
10/31/2003,16.1
9/30/2003,22.72
8/29/2003,18.63
7/31/2003,19.49
6/30/2003,19.52
5/30/2003,19.47
4/30/2003,21.21
3/31/2003,29.15
2/28/2003,29.63
1/31/2003,31.17
12/31/2002,28.62
11/29/2002,27.5
10/31/2002,31.14
9/30/2002,39.69
8/30/2002,32.64
7/31/2002,32.03
6/28/2002,25.4
5/31/2002,19.98
4/30/2002,21.91
3/29/2002,17.4
2/28/2002,21.59
1/31/2002,21.09
